template_fraction,run,runtime_seconds
0/60000,1,5.104
0/60000,2,5.072
0/60000,3,4.938
0/60000,4,5.769
0/60000,5,5.164
0/60000,6,5.181
0/60000,7,5.053
0/60000,8,5.114
0/60000,9,4.964
0/60000,10,5.069
0/30000,1,6.801
0/30000,2,6.754
0/30000,3,6.800
0/30000,4,7.725
0/30000,5,7.260
0/30000,6,6.763
0/30000,7,6.830
0/30000,8,6.957
0/30000,9,7.396
0/30000,10,6.738
0/10000,1,21.349
0/10000,2,19.679
0/10000,3,20.178
0/10000,4,22.799
0/10000,5,18.863
0/10000,6,15.258
0/10000,7,13.836
0/10000,8,13.776
0/10000,9,13.615
0/10000,10,13.611
0/5000,1,34.266
0/5000,2,31.458
0/5000,3,31.822
0/5000,4,28.886
0/5000,5,29.898
0/5000,6,29.723
0/5000,7,31.440
0/5000,8,30.631
0/5000,9,27.906
0/5000,10,28.118
0/3000,1,50.330
0/3000,2,43.277
0/3000,3,39.591
0/3000,4,45.455
0/3000,5,46.781
0/3000,6,42.148
0/3000,7,38.434
0/3000,8,38.111
0/3000,9,41.172
0/3000,10,37.889
0/2000,1,76.766
0/2000,2,65.056
0/2000,3,62.803
0/2000,4,63.116
0/2000,5,67.388
0/2000,6,69.000
0/2000,7,68.354
0/2000,8,67.288
0/2000,9,69.005
0/2000,10,66.810
0/1000,1,119.290
0/1000,2,115.899
0/1000,3,115.239
0/1000,4,116.806
0/1000,5,114.544
0/1000,6,113.924
0/1000,7,120.382
0/1000,8,118.711
0/1000,9,118.807
0/1000,10,117.477
