template_fraction,run,runtime_seconds
0/60000,1,3.717
0/60000,2,3.717
0/60000,3,3.694
0/60000,4,3.663
0/60000,5,3.703
0/60000,6,3.704
0/60000,7,3.714
0/60000,8,3.689
0/60000,9,3.656
0/60000,10,3.692
0/30000,1,4.997
0/30000,2,4.996
0/30000,3,5.056
0/30000,4,5.086
0/30000,5,5.040
0/30000,6,5.068
0/30000,7,5.041
0/30000,8,5.015
0/30000,9,5.023
0/30000,10,5.004
0/10000,1,9.678
0/10000,2,9.805
0/10000,3,9.835
0/10000,4,9.744
0/10000,5,9.743
0/10000,6,9.687
0/10000,7,10.004
0/10000,8,9.896
0/10000,9,9.767
0/10000,10,9.814
0/5000,1,16.921
0/5000,2,16.795
0/5000,3,16.843
0/5000,4,16.724
0/5000,5,16.948
0/5000,6,16.917
0/5000,7,16.804
0/5000,8,16.886
0/5000,9,16.866
0/5000,10,16.831
0/3000,1,25.792
0/3000,2,25.978
0/3000,3,25.964
0/3000,4,26.014
0/3000,5,25.633
0/3000,6,25.846
0/3000,7,25.849
0/3000,8,25.719
0/3000,9,25.733
0/3000,10,25.666
0/2000,1,36.955
0/2000,2,37.082
0/2000,3,36.981
0/2000,4,36.859
0/2000,5,37.431
0/2000,6,42.468
0/2000,7,41.301
0/2000,8,36.800
0/2000,9,36.338
0/2000,10,36.556
0/1000,1,72.548
0/1000,2,73.014
0/1000,3,74.714
0/1000,4,71.116
0/1000,5,70.617
0/1000,6,70.703
0/1000,7,70.174
0/1000,8,70.224
0/1000,9,74.457
0/1000,10,70.904
